,label,text,source,chars,words,avg_wlen,puncs,uppers,titles,clean_text,clean_words,chars_c,words_c,avg_wlen_c,puncs_c,uppers_c,titles_c
0,0,So there is no way for me to plug it in here in the US unless I go by a converter.,amazon,82,21,3.9047619047619047,1,21,21,amazon way plug us unless go converter,7,38,7,3.9047619047619047,0,7,7
1,1,"Good case, Excellent value.",amazon,27,4,6.75,2,4,4,amazon good case excellent value,5,32,5,6.75,0,5,5
2,1,Great for the jawbone.,amazon,22,4,5.5,1,4,4,amazon great jawbone,3,20,3,5.5,0,3,3
3,0,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,amazon,79,11,7.181818181818182,3,11,11,amazon tied charger conversations lasting 45 minutes major problems,9,67,9,7.181818181818182,0,9,9
4,1,The mic is great.,amazon,17,4,4.25,1,4,4,amazon mic great,3,16,3,4.25,0,3,3
5,0,I have to jiggle the plug to get it to line up right to get decent volume.,amazon,74,17,4.352941176470588,1,17,17,amazon jiggle plug get line right get decent volume,9,51,9,4.352941176470588,0,9,9
6,0,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",amazon,111,21,5.285714285714286,2,21,21,amazon several dozen several hundred contacts imagine fun sending one one,11,73,11,5.285714285714286,0,11,11
7,1,If you are Razr owner...you must have this!,amazon,43,8,5.375,4,8,8,amazon razr owner must,4,22,4,5.375,0,4,4
8,0,"Needless to say, I wasted my money.",amazon,35,7,5.0,2,7,7,amazon needless say wasted money,5,32,5,5.0,0,5,5
9,0,What a waste of money and time!.,amazon,32,7,4.571428571428571,2,7,7,amazon waste money time,4,23,4,4.571428571428571,0,4,4
10,1,And the sound quality is great.,amazon,31,6,5.166666666666667,1,6,6,amazon sound quality great,4,26,4,5.166666666666667,0,4,4
11,1,He was very impressed when going from the original battery to the extended battery.,amazon,83,14,5.928571428571429,1,14,14,amazon impressed going original battery extended battery,7,56,7,5.928571428571429,0,7,7
12,0,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,amazon,114,22,5.181818181818182,2,22,22,amazon two seperated mere 5 ft started notice excessive static garbled sound headset,13,84,13,5.181818181818182,0,13,13
